country,capital,nuts,
MT,.,MT,
CY,.,CY,
HU,Budapest,HU1,
HU,Pest,HU1,
PY,Asunción,No Nuts,
PY,Asuncion,No Nuts,
PY,Central,No Nuts,
UG,Kampala,UG100,
WB,Kabul,No Nuts,
WB,Tirana,No Nuts,
WB,Yerevan,No Nuts,
WB,Luanda,No Nuts,
WB,Buenos Aires,No Nuts,
WB,Baku,No Nuts,
WB,Sarajevo,No Nuts,
WB,Dhaka,No Nuts,
WB,Ouagadougou,No Nuts,
WB,Sofia,No Nuts,
WB,Bujumbura,No Nuts,
WB,La Paz,No Nuts,
WB,Brasilia,No Nuts,
WB,Gaborone,No Nuts,
WB,Minsk,No Nuts,
WB,Brazzaville,No Nuts,
WB,Santiago,No Nuts,
WB,Beijing,No Nuts,
WB,Bogota,No Nuts,
WB,San Jose,No Nuts,
WB,Praia,No Nuts,
WB,Djibouti,No Nuts,
WB,Roseau,No Nuts,
WB,Santo Domingo,No Nuts,
WB,Algiers,No Nuts,
WB,Quito,No Nuts,
WB,Cairo,No Nuts,
WB,Asmara,No Nuts,
WB,Addis Ababa,No Nuts,
WB,Suva,No Nuts,
WB,Palikir,No Nuts,
WB,St George,No Nuts,
WB,Saint George,No Nuts,
WB,Tbilisi,No Nuts,
WB,Accra,No Nuts,
WB,Conakry,No Nuts,
WB,Georgetown,No Nuts,
WB,Tegucigalpa,No Nuts,
WB,Zagreb,No Nuts,
WB,Port-au-Prince,No Nuts,
WB,Budapest,No Nuts,
WB,Jakarta,No Nuts,
WB,New Delhi,No Nuts,
WB,Baghdad,No Nuts,
WB,Tehran,No Nuts,
WB,Kingston,No Nuts,
WB,Amman,No Nuts,
WB,Nairobi,No Nuts,
WB,Bishkek,No Nuts,
WB,Phnom Penh,No Nuts,
WB,Tarawa,No Nuts,
WB,Basseterre,No Nuts,
WB,Astana,No Nuts,
WB,Vientiane,No Nuts,
WB,Beirut,No Nuts,
WB,Castries,No Nuts,
WB,Colombo,No Nuts,
WB,Monrovia,No Nuts,
WB,Maseru,No Nuts,
WB,Rabat,No Nuts,
WB,Chisinau,No Nuts,
WB,Podgorica,No Nuts,
WB,Skopje,No Nuts,
WB,Rangoon,No Nuts,
WB,Ulaanbaatar,No Nuts,
WB,Male,No Nuts,
WB,Lilongwe,No Nuts,
WB,Mexico City,No Nuts,
WB,Maputo,No Nuts,
WB,Abuja,No Nuts,
WB,Managua,No Nuts,
WB,Kathmandu,No Nuts,
WB,Lima,No Nuts,
WB,Port Moresby,No Nuts,
WB,Manila,No Nuts,
WB,Islamabad,No Nuts,
WB,Warsaw,No Nuts,
WB,Bucharest,No Nuts,
WB,Moscow,No Nuts,
WB,Kigali,No Nuts,
WB,Honiara,No Nuts,
WB,Freetown,No Nuts,
WB,Dakar,No Nuts,
WB,Mogadishu,No Nuts,
WB,Juba,No Nuts,
WB,San Salvador,No Nuts,
WB,Mbabane,No Nuts,
WB,Bangkok,No Nuts,
WB,Dushanbe,No Nuts,
WB,Tunis,No Nuts,
WB,Nuku’alofa,No Nuts,
WB,Ankara,No Nuts,
WB,Funafuti,No Nuts,
WB,Dar es Salaam,No Nuts,
WB,Kyiv,No Nuts,
WB,Kampala,No Nuts,
WB,Montevideo,No Nuts,
WB,Tashkent,No Nuts,
WB,Hanoi,No Nuts,
WB,Port-Vila,No Nuts,
WB,Apia,No Nuts,
WB,Pristina,No Nuts,
WB,Lusaka,No Nuts,
WB,Belgrade,No Nuts,
WB,Belmopan,No Nuts,
WB,Sanaa,No Nuts,
WB,Bridgetown,No Nuts,
WB,Dili,No Nuts,
WB,Reykjavik,No Nuts,
AT,Wien,AT1,
BE,Brussels,BE1,
BG,Sofia,BG4,
BG,София,BG4,
CH,Zurich,CH04,
CH,Zürcher,CH04,
CH,Zürich,CH04,
CZ,Prague,CZ01,
CZ,Praha,CZ01,
CZ,Prag,CZ01,
CZ,Praga,CZ01,
DE,Berlin,DE3,
CL,Metropolitan,No Nuts,
CL,Santiago,No Nuts,
CL,Santiago Metropolitan,No Nuts,
DK,Hovedstaden,DK01,
DK,Copenhagen,DK01,
DK,Frederiksberg,DK01,
DK,Albertslund,DK01,
DK,Allerød,DK01,
DK,Ballerup,DK01,
DK,Bornholm,DK01,
DK,Brøndby,DK01,
DK,Dragør,DK01,
DK,Egedal,DK01,
DK,Fredensborg,DK01,
DK,Frederikssund,DK01,
DK,Furesø,DK01,
DK,Gentofte,DK01,
DK,Gladsaxe,DK01,
DK,Glostrup,DK01,
DK,Gribskov,DK01,
DK,Halsnæs,DK01,
DK,Helsingør,DK01,
DK,Herlev,DK01,
DK,Hillerød,DK01,
DK,Hørsholm,DK01,
DK,Høje-Taastrup,DK01,
DK,Hvidovre,DK01,
DK,Ishøj,DK01,
DK,Lyngby-Taarbæk,DK01,
DK,Rudersdal,DK01,
DK,Rødovre,DK01,
DK,Tårnby,DK01,
DK,Vallensbæk,DK01,
DK,København,DK01,
EE,Põhja,EE001,
EE,Harju ,EE001,
EE,Tallinn ,EE001,
EE,Talinn ,EE001,
EE,Talin,EE001,
FI,Helsinki,FI1B,
FI,Uusimaa,FI1B1,
GR,Attica ,EL3,
GR,Αττικής,EL30,
GR,Attikís,EL3,
GR,Piraeus ,EL3,
GR,Peiraiós,EL3,
GR,Athens,EL3,
GR,Αθήνα,GR3,
GR,Athína ,EL3,
GR,Attiki,EL3,
GR,Αθηνών ,EL3,
GR,Athinon,EL3,
HR,Zagreb,HR041,
HR,Zagreb,HR041,
IE,Dublin,IE02,
IS,Reykjav,IS001,
LT,Vilnius,LT00A,
LT,Vilniaus ,LT00A,
LU,Luxembourg,LU,
LV,Riga,LV006 ,
MK,Skopje,MK008 ,
MK,Скопје ,MK008 ,
MK,Shkup,MK008 ,
MK,Skopski,MK008 ,
NL,Amsterdam,NL32,
NL,North Holland,,
NO,Oslo,NO01,
SE,Stockholm,SE11,
SI,Ljubljana,SI041,
SI,Osrednjeslovenska ,SI041,
SK,Bratislava ,SK01,
SK,Bratislavský ,SK01,
SK,Bratysława,SK01,
RO,București,RO32,
RO,Bucharest ,RO32,
RO,Ilfov ,RO32,
PT,Lisboa,PT17,
PT,Lisbon,PT17,
UK,Edinburgh,UKM25,
UK,Cardiff,UKL22,https://familypedia.fandom.com/wiki/NUTS_statistical_regions_of_the_United_Kingdom
UK,Belfast,UKN01,
UK,London,UKI3,
UK,London,UKI4,
FR,Île-de-France,FR10,
FR,"	Île de France",FR10,
FR,Paris,FR10,
FR,Seine-et-Marne,FR10,
FR,Yvelines,FR10,
FR,Essonne,FR10,
FR,Hauts de Seine,FR10,
FR,Hauts-de-Seine,FR10,
FR,Seine Saint Denis,FR10,
ES,Madrid,ES30,
IT,Lazio,ITI4,
IT,Viterbo,ITI4,
IT,Rieti,ITI4,
IT,Roma,ITI4,
IT,Latina,ITI4,
IT,Frosinone,ITI4,
PL,Warszawa,PL12,
PL,Warschau,PL12,
PL,Warsaw,PL12,
PL,Warszawski ,PL12,
PL,Mazowieckie,PL12,
GE,Tbilisi,No_nuts,
GE,თბილისი ,No_nuts,
JM,Kingston,JM3,
KE,Nairobi,KE11,
MD,Chi..in..u,No_nuts,
MD,Chișinău,No_nuts,
MX,Ciudad de México,No_nuts,
ID,Jakarta,No_nuts,
US,WASHINGTON,No_nuts,
PL,Mazowieckie,PL12,
PL,Miasto Warszawa,PL12,
PL,Radomski,PL12,
PL,Warszawski wschodni,PL12,
PL,Warszawski zachodni,PL12,
PL,Ciechanowski,PL12,
PL,Płocki,PL12,
PL,Ostrołęcki,PL12,
PL,Siedlecki,PL12,
PL,Warszawa,PL12,
PL,Warschau,PL12,
PL,Warszawa,PL12,
PL,Warsaw,PL12,
